Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
U1,ECE298_RS_74HCT541,SO20W,,TOP,180,2122.61,554.559
C16,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,-90,2122.61,361.646
J3,ECE298_RS_10PINREC,CONN-SIL10,,TOP,90,1791.34,800.394
J1,ECE298_RS_BENCH_POWER,SIL-100-02R,,TOP,270,472.441,737.402
J14,ECE298_RS_BENCH_POWER,SIL-100-02R,,TOP,90,1551.18,731.102
C10,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,270,590.551,732.283
C13,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,1452.76,736.22
U3,ECE298_RS_L9110,SO8,,TOP,180,511.811,452.756
J8,ECE298_DC_BRUSH_MOTOR,SIL-100-02,,TOP,90,885.827,424.016
RV2,10K,TRIM_3361P,Digikey 3361P-103GLFDKR-ND,TOP,180,570.866,1799.21
C5,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,574.803,1759.84
U4,ECE298_RS_74HCT541,SO20W,,TOP,0,551.181,1141.73
U2,ECE298_RS_CMOS4050,SO16,,TOP,0,2204.72,1732.28
J2,ECE298_RS_4PINREC,CONN-SIL4,,TOP,-180,1315.35,1173.23
R1,150,RESC1005X40,Digikey 311-150JDKR-ND,BOT,90,500,1452.76
R2,80,RESC1005X40,Digikey 311-180JCT-ND,BOT,90,397.638,1452.76
R3,1K,RESC1005X40,Digikey 311-180JCT-ND,BOT,270,472.441,984.252
R5,150,RESC1005X40,Digikey 311-180JCT-ND,BOT,90,602.362,1452.76
J9,ECE298_RS_4PINREC,CONN-SIL4,,TOP,-180,550.787,1555.12
J10,ECE298_RS_4PINREC,CONN-SIL4,,TOP,180,2204.33,1366.14
J4,ECE298_RS_3PINHDR,SIL-100-03,,TOP,180,2309.45,2244.09
J6,ECE298_RS_3PINHDR,SIL-100-03,,TOP,0,2206.3,1015.75
C1,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,1251.97,736.22
C2,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,-90,179.331,1535.43
C3,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,1311.02,1271.65
C4,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,181.102,1074.8
C6,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,2212.6,1468.5
C7,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,-90,748.031,732.283
C8,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,185.039,1244.09
C9,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,0,515.748,578.74
C11,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,0,2208.66,1106.3
C12,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,270,1885.83,1196.85
C14,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,2216.54,1744.09
C15,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,535.433,1129.92
J5,ECE298_TERMINAL_VIA,PIN,,TOP,0,1551.18,448.819
J7,ECE298_TERMINAL_VIA,PIN,,TOP,0,1791.34,196.85
J11,ECE298_TERMINAL_VIA,PIN,,TOP,0,287.402,2157.48
J12,ECE298_TERMINAL_VIA,PIN,,TOP,0,657.48,2157.48
J13,ECE298_TERMINAL_VIA,PIN,,TOP,0,1925.2,1003.94
